,XIV,,,,SVXY,ZIV,SVXY + ZIV
2016-06-09,658904.018363,-1.791,XIV - 1.00,,650235.779867,301498.484989,405493.488469
2016-06-10,599403.038363,-9.03,XIV - 1.00,,592037.899589,291768.735505,382209.630684
2016-06-13,510363.278363,-14.855,XIV - 0.55,,503944.579589,277463.190253,347289.701805
2016-06-14,516329.738363,1.169,GLD - 1.00,,509815.643406,278315.156196,349539.898182
2016-06-15,520118.080852,0.734,GLD - 1.00,,513556.665739,280357.202928,352104.286636
2016-06-16,514706.168363,-1.041,GLD - 1.00,,508213.653409,277439.996196,348440.878182
2016-06-17,521242.078363,1.27,GLD - 1.00,,514667.923409,280963.076196,352865.138182
2016-06-20,518161.466689,-0.591,GLD - 1.00,,511626.531629,279302.520684,350779.823818
2016-06-21,508295.1442,-1.904,GLD - 1.00,,501885.819299,273984.233952,344101.155364
2016-06-22,508545.009184,0.049,GLD - 1.00,,502132.503965,274118.887416,344270.312278
2016-06-23,505255.44502,-0.647,GLD - 1.00,,498884.809854,272346.125172,342043.299459
2016-06-24,529781.400856,4.854,None - 0.00,,523104.485742,285563.282928,358647.20664
2016-06-27,529781.400856,0,GLD - 1.00,,523104.485742,285563.282928,358647.20664
2016-06-28,524151.000856,-1.063,GLD - 1.00,,517544.805742,282529.122928,354836.48664
2016-06-29,526303.784296,0.411,None - 0.00,,519670.54939,283689.234004,356294.035428
2016-06-30,526303.784296,0,XIV - 0.55,,519670.54939,283689.234004,356294.035428
2016-07-01,537197.434296,2.07,XIV - 0.55,,528610.162855,284167.910015,359038.994294
2016-07-05,532235.994296,-0.924,XIV - 1.00,,523036.914229,282694.203998,356418.150389
2016-07-06,544840.424296,2.368,XIV - 0.55,,537225.794229,285822.031272,362606.9609645
2016-07-07,549498.844296,0.855,XIV - 1.00,,541929.724229,286502.023272,364385.2348325
2016-07-08,586010.204296,6.644,XIV - 1.00,,577136.703519,294777.276013,380152.9037285
2016-07-11,584165.204296,-0.315,XIV - 1.00,,577033.218519,294196.730527,379681.207327499
2016-07-12,598105.204296,2.386,XIV - 1.00,,590279.298519,297897.786013,386063.121228499
2016-07-13,608147.754296,1.679,XIV - 1.00,,599901.543519,299856.913269,390141.274276999
2016-07-14,608352.674296,0.034,XIV - 1.00,,600315.323519,301162.993269,391250.874277
2016-07-15,609992.034296,0.269,XIV - 1.00,,603211.783519,299711.786013,390917.988729
2016-07-18,622491.544296,2.049,XIV - 1.00,,613452.364207,301888.586013,395328.654276999
2016-07-19,621467.194296,-0.165,XIV - 1.00,,613969.468522,299712.086013,393803.22373
2016-07-20,639495.754296,2.901,XIV - 1.00,,631551.739207,303412.667781,401347.84592
2016-07-21,621061.954296,-2.883,XIV - 1.00,,613560.988528,296883.153271,391530.524280499
2016-07-22,636018.194296,2.408,XIV - 1.00,,627419.938528,300801.940528,398243.6098285
2016-07-25,639295.474296,0.515,XIV - 1.00,,631245.717848,299495.860528,398271.3392815
2016-07-26,645235.254296,0.929,XIV - 1.00,,637346.022848,300439.147784,400628.8198285
2016-07-27,659776.054296,2.254,XIV - 1.00,,651303.039202,302325.693272,405814.7973285
2016-07-28,671651.554296,1.8,XIV - 1.00,,663086.05853,304647.293272,410750.7317825
2016-07-29,696422.674296,3.688,XIV - 1.00,,685821.979199,310523.850527,421341.6928725
2016-08-01,707677.874296,1.616,XIV - 1.00,,696876.128537,312772.266021,426025.933742
2016-08-02,680464.744296,-3.845,XIV - 1.00,,670949.062878,305736.870527,413692.764285
2016-08-03,695611.804296,2.226,XIV - 1.00,,687999.358545,308711.420527,420540.84483
2016-08-04,714644.254296,2.736,XIV - 1.00,,706594.299867,311322.867781,427526.301462
2016-08-05,739195.054296,3.435,XIV - 1.00,,730555.259867,314514.173275,436395.090376
2016-08-08,756783.774296,2.379,XIV - 1.00,,746558.17292,317922.627779,443294.874834
2016-08-09,768643.614296,1.567,XIV - 1.00,,758532.31421,321403.580527,449168.340375
2016-08-10,750652.894296,-2.341,XIV - 1.00,,740574.582287,318358.146025,442021.712675
2016-08-11,754333.714296,0.49,XIV - 1.00,,744497.384225,317778.000529,442631.25038
2016-08-12,761081.554296,0.895,XIV - 1.00,,751826.33858,316545.146025,443656.318757
2016-08-15,773349.154296,1.612,XIV - 1.00,,763489.612937,317778.000529,447728.959298
2016-08-16,747182.114296,-3.384,XIV - 1.00,,737689.612937,312919.146025,437091.188217
2016-08-17,767632.114296,2.737,XIV - 1.00,,756271.933584,315530.233278,444074.119301
2016-08-18,775401.214296,1.012,XIV - 1.00,,769482.813584,314007.32053,446456.754842
2016-08-19,775401.214296,0,XIV - 1.00,,765561.424223,313281.998771,444849.998761
2016-08-22,773152.484296,-0.29,XIV - 1.00,,763187.803583,312049.003277,443270.819301999
2016-08-23,776014.504296,0.37,XIV - 1.00,,765251.844863,310961.046024,442993.774843
2016-08-24,759455.674296,-2.134,XIV - 1.00,,748017.382943,310163.237783,437757.529843
2016-08-25,756388.624296,-0.404,XIV - 1.00,,747294.807943,311903.943277,438893.52626
2016-08-26,755161.744296,-0.162,XIV - 1.00,,745023.837298,309945.626024,436787.745177
2016-08-29,770293.264296,2.004,XIV - 1.00,,760197.932943,311323.907786,441914.117345
2016-08-30,776017.584296,0.743,XIV - 1.00,,765977.474866,311976.677786,443964.303968
2016-08-31,773155.564296,-0.369,XIV - 1.00,,761127.054226,312049.19328,442717.562345
2016-09-01,776222.164296,0.397,XIV - 1.00,,765358.417944,311686.550533,443576.411804
2016-09-02,796665.164296,2.634,XIV - 1.00,,793016.017944,312992.090533,451998.731804
2016-09-06,825276.964296,3.591,XIV - 1.00,,813545.832311,317706.526027,461112.015184
2016-09-07,835083.364296,1.188,XIV - 1.00,,823756.259192,319374.478775,465127.801262
2016-09-08,833244.844296,-0.22,XIV - 1.00,,820868.779817,317416.737779,462857.0439545
2016-09-09,701484.244296,-15.813,XIV - 1.00,,690621.842942,300011.923275,414588.988762
2016-09-12,748149.004296,6.652,GLD - 1.00,,737428.047277,307267.923275,432693.408217
2016-09-13,743235.027696,-0.657,GLD - 1.00,,732583.790345,305250.252883,429851.701749
2016-09-14,745750.957696,0.339,GLD - 1.00,,735063.600345,306283.542883,431306.821749
2016-09-15,741011.665249,-0.636,GLD - 1.00,,730392.347646,304337.120092,428565.791901
2016-09-16,739197.825994,-0.245,GLD - 1.00,,728604.548811,303592.178077,427516.734981
2016-09-19,740719.097696,0.206,GLD - 1.00,,730103.980345,304216.962883,428396.581749
2016-09-20,741421.229398,0.095,GLD - 1.00,,730796.031879,304505.327689,428802.668517
2016-09-21,752128.530143,1.444,None - 0.00,,741349.613044,308902.805674,434995.371597
2016-09-22,752128.530143,0,XIV - 0.55,,741349.613044,308902.805674,434995.371597
2016-09-23,748402.780143,-0.495,XIV - 1.00,,737840.913044,309174.405674,434247.329097
2016-09-26,706615.380143,-5.584,XIV - 1.00,,698919.607751,303675.412724,419530.129781
2016-09-27,743372.100143,5.202,None - 0.00,,735792.248033,310797.91862,434919.3937505
2016-09-28,743372.100143,0,XIV - 0.20,,735792.248033,310797.91862,434919.3937505
2016-09-29,734359.850143,-1.212,XIV - 0.55,,726629.586336,309915.91722,431763.5695145
2016-09-30,750228.560143,2.161,XIV - 0.55,,744654.703938,311201.935014,437542.4315225
2016-10-03,754154.000143,0.523,XIV - 0.55,,746371.461786,313104.597248,439457.4246465
2016-10-04,753936.860143,-0.029,XIV - 0.20,,747476.994951,314572.921112,440877.5164805
2016-10-05,755476.970143,0.204,None - 0.00,,748801.936921,314153.222511,440909.690408
2016-10-06,755476.970143,0,XIV - 0.55,,748801.936921,314153.222511,440909.690408
2016-10-07,754301.730143,-0.156,XIV - 0.55,,748258.036921,313575.730211,440323.49627
2016-10-10,762860.130143,1.135,XIV - 0.20,,756857.197806,315156.690211,443844.8992045
2016-10-11,754612.570143,-1.081,XIV - 0.55,,748507.593886,314025.928815,440728.4970845
2016-10-12,753725.370143,-0.118,GLD - 1.00,,748112.373886,314025.928815,440623.462084499
2016-10-13,755532.366374,0.24,GLD - 1.00,,749906.030071,314778.771411,441679.935727499
2016-10-14,751357.608836,-0.553,GLD - 1.00,,745762.092441,313039.456603,439239.803011499
2016-10-17,753351.522605,0.265,GLD - 1.00,,747741.286256,313870.174007,440405.559368499
2016-10-18,757962.450143,0.612,GLD - 1.00,,752318.173886,315791.208815,443101.372082499
2016-10-19,762261.858836,0.567,None - 0.00,,756585.152438,317582.456603,445614.363008499
2016-10-20,762261.858836,0,XIV - 0.55,,756585.152438,317582.456603,445614.363008499
2016-10-21,770606.628836,1.095,XIV - 1.00,,765356.975912,319332.510492,449323.972575999
2016-10-24,798015.588836,3.557,XIV - 1.00,,792105.535295,324541.38457,460550.448462499
2016-10-25,790024.248836,-1.001,XIV - 1.00,,783676.955919,325315.536418,458829.871992499
