Date,Equity,dayProfit%,dayProfit%,,
2009-03-23,352666.660618,-1.613,None - 0.00 - true,,
2009-03-24,348338.741468,-1.227,None - 0.00 - true,,
2009-03-25,352283.664448,1.132,None - 0.00 - true,,
2009-03-26,352092.152958,-0.054,None - 0.00 - true,,
2009-03-27,347342.960618,-1.349,None - 0.00 - true,,
2009-03-30,344623.664448,-0.783,None - 0.00 - true,,
2009-03-31,345772.649128,0.333,None - 0.00 - true,,
2009-04-01,348645.149128,0.831,None - 0.00 - true,,
2009-04-02,340104.264448,-2.45,None - 0.00 - true,,
2009-04-03,335469.937638,-1.363,None - 0.00 - false,,
2009-04-06,335469.937638,0,XIV - 1.00 - false,,
2009-04-07,333712.717638,-0.524,XIV - 1.00 - false,,
2009-04-08,340741.957638,2.106,XIV - 1.00 - false,,
2009-04-09,354797.557638,4.125,XIV - 1.00 - false,,
2009-04-13,358310.037638,0.99,XIV - 1.00 - false,,
2009-04-14,358310.037638,0,XIV - 1.00 - false,,
2009-04-15,365334.317638,1.96,XIV - 1.00 - false,,
2009-04-16,379380.157638,3.845,XIV - 1.00 - false,,
2009-04-17,386400.437638,1.85,XIV - 1.00 - false,,
2009-04-20,356569.687638,-7.72,XIV - 1.00 - false,,
2009-04-21,370619.527638,3.94,None - 0.00 - false,,
2009-04-22,370619.527638,0,XIV - 1.00 - false,,
2009-04-23,377744.047638,1.922,XIV - 1.00 - false,,
2009-04-24,375963.257638,-0.471,XIV - 1.00 - false,,
2009-04-27,367058.907638,-2.368,XIV - 1.00 - false,,
2009-04-28,372402.837638,1.456,XIV - 1.00 - false,,
2009-04-29,386651.237638,3.826,XIV - 1.00 - false,,
2009-04-30,383090.457638,-0.921,XIV - 1.00 - false,,
2009-05-01,388432.137638,1.394,XIV - 1.00 - false,,
2009-05-04,406235.237638,4.583,XIV - 1.00 - false,,
2009-05-05,406235.237638,0,XIV - 1.00 - false,,
2009-05-06,420471.397638,3.504,XIV - 1.00 - false,,
2009-05-07,415134.667638,-1.269,XIV - 1.00 - false,,
2009-05-08,432926.067638,4.286,XIV - 1.00 - false,,
2009-05-11,429369.267638,-0.822,XIV - 1.00 - false,,
2009-05-12,432926.367638,0.828,XIV - 1.00 - false,,
2009-05-13,418699.087638,-3.286,XIV - 1.00 - false,,
2009-05-14,434710.267638,3.824,XIV - 1.00 - false,,
2009-05-15,424040.107638,-2.455,XIV - 1.00 - false,,
2009-05-18,456058.687638,7.551,XIV - 1.00 - false,,
2009-05-19,463168.887638,1.559,XIV - 1.00 - false,,
2009-05-20,461391.617638,-0.384,XIV - 1.00 - false,,
2009-05-21,436508.857638,-5.393,XIV - 1.00 - false,,
2009-05-22,429395.417638,-1.63,XIV - 1.00 - false,,
2009-05-26,448960.677638,4.556,XIV - 1.00 - false,,
2009-05-27,434737.637638,-3.168,XIV - 1.00 - false,,
2009-05-28,441851.517638,1.636,XIV - 1.00 - false,,
2009-05-29,457855.137638,3.622,XIV - 1.00 - false,,
2009-06-01,468520.437638,2.329,XIV - 1.00 - false,,
2009-06-02,466743.297638,-0.379,XIV - 1.00 - false,,
2009-06-03,441862.357638,-5.331,XIV - 1.00 - false,,
2009-06-04,447197.017638,1.207,XIV - 1.00 - false,,
2009-06-05,448975.027638,0.398,XIV - 1.00 - false,,
2009-06-08,452530.907638,0.792,XIV - 1.00 - false,,
2009-06-09,468531.017638,3.536,XIV - 1.00 - false,,
2009-06-10,464976.657638,-0.759,XIV - 1.00 - false,,
2009-06-11,475640.577638,2.293,XIV - 1.00 - false,,
2009-06-12,482748.257638,1.494,XIV - 1.00 - false,,
2009-06-15,459651.807638,-4.784,XIV - 1.00 - false,,
2009-06-16,443653.857638,-3.48,XIV - 1.00 - false,,
2009-06-17,441875.657638,-0.401,XIV - 0.55 - false,,
2009-06-18,442853.707638,0.221,XIV - 0.55 - false,,
2009-06-19,450663.707638,1.764,XIV - 1.00 - false,,
2009-06-22,431417.777638,-4.271,XIV - 1.00 - false,,
2009-06-23,440169.877638,2.029,XIV - 0.55 - false,,
2009-06-24,449795.277638,2.187,XIV - 0.55 - false,,
2009-06-25,461142.597638,2.523,XIV - 1.00 - false,,
2009-06-26,467881.037638,1.461,XIV - 1.00 - false,,
2009-06-29,484724.737638,3.6,XIV - 1.00 - false,,
2009-06-30,476305.837638,-1.737,XIV - 1.00 - false,,
2009-07-01,481358.077638,1.061,XIV - 1.00 - false,,
2009-07-02,454415.677638,-5.597,XIV - 1.00 - false,,
2009-07-06,459470.407638,1.112,XIV - 0.55 - false,,
2009-07-07,449277.917638,-2.218,XIV - 0.55 - false,,
2009-07-08,446444.357638,-0.631,XIV - 0.55 - false,,
2009-07-09,449293.037638,0.638,XIV - 0.55 - false,,
2009-07-10,448348.487638,-0.21,XIV - 0.55 - false,,
2009-07-13,459703.127638,2.533,XIV - 0.55 - false,,
2009-07-14,464338.427638,1.008,XIV - 1.00 - false,,
2009-07-15,477711.307638,2.88,XIV - 1.00 - false,,
2009-07-16,484395.867638,1.399,XIV - 1.00 - false,,
2009-07-17,484395.867638,0,XIV - 1.00 - false,,
2009-07-20,494421.327638,2.07,XIV - 1.00 - false,,
2009-07-21,504444.747638,2.027,XIV - 1.00 - false,,
2009-07-22,516136.357638,2.318,XIV - 1.00 - false,,
2009-07-23,532834.857638,3.235,XIV - 1.00 - false,,
2009-07-24,537842.817638,0.94,XIV - 1.00 - false,,
2009-07-27,529497.017638,-1.552,XIV - 1.00 - false,,
2009-07-28,511133.287638,-3.468,XIV - 1.00 - false,,
2009-07-29,506123.197638,-0.98,XIV - 1.00 - false,,
2009-07-30,517814.597638,2.31,XIV - 1.00 - false,,
2009-07-31,512805.137638,-0.967,XIV - 1.00 - false,,
2009-08-03,526165.057638,2.605,XIV - 0.55 - false,,
2009-08-04,528001.557638,0.349,XIV - 1.00 - false,,
2009-08-05,529666.267638,0.315,XIV - 1.00 - false,,
2009-08-06,524672.287638,-0.943,XIV - 1.00 - false,,
2009-08-07,541320.487638,3.173,XIV - 1.00 - false,,
2009-08-10,541320.487638,0,XIV - 1.00 - false,,
2009-08-11,529670.387638,-2.152,XIV - 1.00 - false,,
2009-08-12,536329.067638,1.257,XIV - 1.00 - false,,
2009-08-13,547980.287638,2.172,XIV - 1.00 - false,,
2009-08-14,537995.627638,-1.822,XIV - 1.00 - false,,
2009-08-17,506371.647638,-5.878,XIV - 1.00 - false,,
2009-08-18,518029.937638,2.302,XIV - 0.55 - false,,
2009-08-19,526272.137638,1.591,XIV - 1.00 - false,,
2009-08-20,536133.497638,1.874,XIV - 1.00 - false,,
2009-08-21,544349.747638,1.533,XIV - 1.00 - false,,
2009-08-24,544349.747638,0,XIV - 1.00 - false,,
2009-08-25,537777.747638,-1.207,XIV - 1.00 - false,,
2009-08-26,527918.547638,-1.833,XIV - 1.00 - false,,
2009-08-27,536136.147638,1.557,XIV - 1.00 - false,,
2009-08-28,531206.367638,-0.92,XIV - 1.00 - false,,
2009-08-31,522989.317638,-1.547,XIV - 0.55 - false,,
2009-09-01,509429.017638,-2.593,XIV - 0.55 - false,,
2009-09-02,505730.577638,-0.726,XIV - 0.20 - false,,
2009-09-03,510128.347638,0.87,XIV - 0.20 - false,,
2009-09-04,513723.917638,0.705,XIV - 0.55 - false,,
2009-09-08,522465.217638,1.702,XIV - 1.00 - false,,
