Date,Equity,dayProfit%,,,,
2010-05-28,941703.776215,0.458,None - 0.00 - true,,,
2010-06-01,948322.517341,0.703,None - 0.00 - false,,,
2010-06-02,948322.517341,0,None - 0.00 - true,,,
2010-06-03,941403.097401,-0.73,None - 0.00 - true,,,
2010-06-04,966708.432537,2.688,None - 0.00 - false,,,
2010-06-07,966708.432537,0,VXX - 1.00 - false,,,
2010-06-08,934280.400537,-3.354,None - 0.00 - true,,,
2010-06-09,933231.917781,-0.112,None - 0.00 - true,,,
2010-06-10,916557.570101,-1.787,None - 0.00 - true,,,
2010-06-11,928182.364153,1.268,None - 0.00 - true,,,
2010-06-14,923418.084796,-0.513,None - 0.00 - true,,,
2010-06-15,919606.859164,-0.413,None - 0.00 - true,,,
2010-06-16,924847.435732,0.57,None - 0.00 - true,,,
2010-06-17,932374.740613,0.814,None - 0.00 - true,,,
2010-06-18,930850.231517,-0.164,None - 0.00 - true,,,
2010-06-21,928182.364153,-0.287,None - 0.00 - true,,,
2010-06-22,939235.161092,1.191,None - 0.00 - true,,,
2010-06-23,945618.648402,0.68,None - 0.00 - true,,,
2010-06-24,939997.462748,-0.594,None - 0.00 - true,,,
2010-06-25,943808.417509,0.405,None - 0.00 - false,,,
2010-06-28,943808.417509,0,XIV - 0.45 - false,,,
2010-06-29,902204.487509,-4.408,None - 0.00 - true,,,
2010-06-30,908274.270393,0.673,None - 0.00 - true,,,
2010-07-01,909707.269532,0.158,None - 0.00 - true,,,
2010-07-02,902454.991774,-0.797,None - 0.00 - false,,,
2010-07-06,902454.991774,0,XIV - 0.45 - false,,,
2010-07-07,928505.191774,2.887,XIV - 1.00 - false,,,
2010-07-08,945286.051774,1.807,XIV - 1.00 - false,,,
2010-07-09,960199.651774,1.578,XIV - 1.00 - false,,,
2010-07-12,984430.481774,2.524,XIV - 1.00 - false,,,
2010-07-13,990020.831774,0.568,XIV - 1.00 - false,,,
2010-07-14,960207.391774,-3.011,XIV - 1.00 - false,,,
2010-07-15,952751.671774,-0.776,XIV - 1.00 - false,,,
2010-07-16,908013.991774,-4.696,XIV - 1.00 - false,,,
2010-07-19,919203.991774,1.232,XIV - 1.00 - false,,,
2010-07-20,975147.091774,6.086,XIV - 1.00 - false,,,
2010-07-21,962101.261774,-1.338,XIV - 1.00 - false,,,
2010-07-22,1014291.861774,5.425,XIV - 1.00 - false,,,
2010-07-23,1038510.601774,2.388,XIV - 1.00 - false,,,
2010-07-26,1077623.941774,3.766,XIV - 1.00 - false,,,
2010-07-27,1083209.521774,0.518,XIV - 1.00 - false,,,
2010-07-28,1070177.201774,-1.203,XIV - 1.00 - false,,,
2010-07-29,1070177.201774,0,XIV - 1.00 - false,,,
2010-07-30,1081349.141774,1.044,XIV - 1.00 - false,,,
2010-08-02,1142788.541774,5.682,XIV - 0.45 - false,,,
2010-08-03,1136927.091774,-0.513,XIV - 1.00 - false,,,
2010-08-04,1148163.891774,0.988,XIV - 1.00 - false,,,
2010-08-05,1138800.791774,-0.815,XIV - 1.00 - false,,,
2010-08-06,1138800.791774,0,XIV - 1.00 - false,,,
2010-08-09,1157528.491774,1.645,XIV - 1.00 - false,,,
2010-08-10,1151911.081774,-0.485,XIV - 1.00 - false,,,
2010-08-11,1058283.081774,-8.128,XIV - 1.00 - false,,,
2010-08-12,1041414.921774,-1.594,XIV - 0.45 - false,,,
2010-08-13,1031292.441774,-0.972,XIV - 0.45 - false,,,
2010-08-16,1037270.231774,0.58,XIV - 0.45 - false,,,
2010-08-17,1051684.361774,1.39,XIV - 0.45 - false,,,
2010-08-18,1059187.391774,0.713,XIV - 1.00 - false,,,
2010-08-19,1026132.011774,-3.121,XIV - 1.00 - false,,,
2010-08-20,1035317.061774,0.895,XIV - 0.45 - false,,,
2010-08-23,1042756.281774,0.719,XIV - 0.65 - false,,,
2010-08-24,1025004.681774,-1.702,XIV - 1.00 - false,,,
2010-08-25,1047064.521774,2.152,None - 0.00 - true,,,
2010-08-26,1056909.596403,0.94,None - 0.00 - false,,,
2010-08-27,1056909.596403,0,XIV - 0.45 - false,,,
2010-08-30,1042568.996403,-1.357,XIV - 1.00 - false,,,
2010-08-31,1060581.896403,1.728,XIV - 1.00 - false,,,
2010-09-01,1125417.176403,6.113,XIV - 1.00 - false,,,
2010-09-02,1152416.276403,2.399,XIV - 1.00 - false,,,
2010-09-03,1208201.086403,4.841,XIV - 1.00 - false,,,
2010-09-07,1172227.686403,-2.977,XIV - 1.00 - false,,,
2010-09-08,1201015.366403,2.456,XIV - 1.00 - false,,,
2010-09-09,1213606.896403,1.048,XIV - 1.00 - false,,,
2010-09-10,1238787.296403,2.075,XIV - 1.00 - false,,,
2010-09-13,1299927.116403,4.935,XIV - 1.00 - false,,,
2010-09-14,1298129.736403,-0.138,XIV - 1.00 - false,,,
2010-09-15,1323293.476403,1.938,XIV - 1.00 - false,,,
2010-09-16,1328684.656403,0.407,XIV - 1.00 - false,,,
2010-09-17,1330481.646403,0.135,XIV - 1.00 - false,,,
2010-09-20,1364623.886403,2.566,XIV - 1.00 - false,,,
2010-09-21,1359234.356403,-0.395,XIV - 1.00 - false,,,
2010-09-22,1335878.816403,-1.718,XIV - 1.00 - false,,,
2010-09-23,1294550.116403,-3.094,XIV - 1.00 - false,,,
2010-09-24,1364651.836403,5.415,XIV - 1.00 - false,,,
2010-09-27,1357465.676403,-0.527,XIV - 1.00 - false,,,
2010-09-28,1359262.316403,0.132,XIV - 1.00 - false,,,
2010-09-29,1339499.496403,-1.454,XIV - 1.00 - false,,,
2010-09-30,1305358.776403,-2.549,XIV - 1.00 - false,,,
2010-10-01,1330521.816403,1.928,XIV - 1.00 - false,,,
2010-10-04,1312551.616403,-1.351,XIV - 1.00 - false,,,
2010-10-05,1375455.716403,4.793,XIV - 1.00 - false,,,
2010-10-06,1391623.586403,1.175,XIV - 1.00 - false,,,
2010-10-07,1402400.906403,0.774,XIV - 1.00 - false,,,
2010-10-08,1456283.306403,3.842,XIV - 1.00 - false,,,
2010-10-11,1492191.506403,2.466,XIV - 1.00 - false,,,
2010-10-12,1540655.966403,3.248,XIV - 1.00 - false,,,
2010-10-13,1576544.166403,2.329,XIV - 1.00 - false,,,
