,Orig,,,,SL10,SL15
2014-11-07,759469.843770999,1.482,XIV - 1.00,,591032.6084221,697932.283019
2014-11-10,787400.163770999,3.678,XIV - 1.00,,612768.1284221,723599.563019
2014-11-11,788221.363770999,0.104,XIV - 1.00,,613407.1684221,724354.203019
2014-11-12,778162.153770999,-1.276,XIV - 1.00,,605578.9284221,715109.863019
2014-11-13,768306.793770999,-1.266,XIV - 1.00,,597909.4884221,706053.223019
2014-11-14,766458.643770999,-0.241,XIV - 1.00,,596471.2884221,704354.833019
2014-11-17,768306.793770999,0.241,XIV - 1.00,,597909.5784221,706053.223019
2014-11-18,781038.493770999,1.657,XIV - 1.00,,607817.178422099,717753.243019
2014-11-19,762149.973770999,-2.418,XIV - 1.00,,593117.4184221,700394.683019
2014-11-20,769748.293770999,0.997,XIV - 1.00,,599030.7584221,707377.323019
2014-11-21,785970.153770999,2.107,XIV - 1.00,,611654.9584221,722285.413019
2014-11-24,802394.153770999,2.09,XIV - 1.00,,624436.5584221,737379.013019
2014-11-25,807320.393770999,0.614,XIV - 1.00,,628270.0784221,741906.133019
2014-11-26,820456.393770999,1.627,XIV - 1.00,,638492.1584221,753977.813019
2014-11-28,798498.923770999,-2.676,XIV - 1.00,,621404.2584221,733799.753019
2014-12-01,765450.453770999,-4.139,XIV - 1.00,,595686.1184221,703428.713019
2014-12-02,804879.573770999,5.151,XIV - 0.45,,626369.6384221,739662.953019
2014-12-03,810513.533770999,0.7,XIV - 1.00,,630754.3184221,744840.633019
2014-12-04,809496.033770999,-0.126,XIV - 1.00,,629962.5184221,743905.583019
2014-12-05,823537.533770999,1.735,XIV - 1.00,,640890.0484221,756809.273019
2014-12-08,791187.393770999,-3.928,XIV - 1.00,,615713.9884221,727079.453019
2014-12-09,778974.393770999,-1.544,XIV - 0.80,,606209.9884221,715855.853019
2014-12-10,716273.293770999,-8.049,XIV - 0.45,,557415.0884221,658232.903019
2014-12-11,695737.663770999,-2.867,GLD - 1.00,,541434.6584221,639361.673019
2014-12-12,694099.115474999,-0.236,GLD - 1.00,,540159.5475301,637855.843775
2014-12-15,676426.046214999,-2.546,GLD - 1.00,,526406.4447601,621614.256885
2014-12-16,679704.274506999,0.485,GLD - 1.00,,528957.235650099,624626.486127
2014-12-17,675724.234506999,-0.586,GLD - 1.00,,525859.835650099,620968.766127
2014-12-18,680875.783776999,0.762,GLD - 1.00,,529868.258425099,625702.313022
2014-12-19,678651.614511999,-0.327,GLD - 1.00,,528137.335650099,623658.266127
2014-12-22,665655.769635999,-1.915,None - 0.00,,518025.2629801,611716.918401
2014-12-23,665655.769635999,0,XIV - 0.45,,518025.2629801,611716.918401
2014-12-24,667610.999635999,0.294,None - 0.00,,519546.9429801,613513.908401
2014-12-26,667610.999635999,0,XIV - 1.00,,519546.9429801,613513.908401
2014-12-29,668752.499635999,0.171,XIV - 1.00,,520435.242980099,614562.888401
2014-12-30,652772.339635999,-2.39,XIV - 0.45,,507999.042980099,599877.168401
2014-12-31,628624.679635999,-3.699,GLD - 1.00,,486087.822975299,577686.588401
2015-01-02,631364.179635999,0.436,GLD - 1.00,,486087.822975299,580204.088401
2015-01-05,640788.065114999,1.493,GLD - 1.00,,493342.7871933,588864.293436
2015-01-06,648019.025114999,1.128,GLD - 1.00,,498909.227193299,595509.173436
2015-01-07,644239.878683999,-0.583,GLD - 1.00,,495999.4845423,592036.388337
2015-01-08,641556.159637999,-0.417,GLD - 1.00,,493933.1629763,589569.738405
2015-01-09,648787.119637999,1.127,GLD - 1.00,,499499.6029763,596214.618405
2015-01-12,655907.197729999,1.097,GLD - 1.00,,504981.686108299,602757.498273
2015-01-13,653716.830585999,-0.334,GLD - 1.00,,503295.311404299,600744.328471
2015-01-14,652676.184154999,-0.159,GLD - 1.00,,502494.258756299,599788.043372
2015-01-15,668942.879631999,2.492,None - 0.00,,515015.7829723,614736.058405
2015-01-16,668942.879631999,0,GLD - 1.00,,515015.7829723,614736.058405
2015-01-20,678023.279631999,1.357,GLD - 1.00,,522006.2629723,623080.618405
2015-01-21,678185.432055999,0.024,GLD - 1.00,,522131.0879323,623229.628201
2015-01-22,683589.432055999,0.797,GLD - 1.00,,526291.087932299,628195.628201
2015-01-23,678185.432055999,-0.791,GLD - 1.00,,522131.0879323,623229.628201
2015-01-26,671484.445035999,-0.988,GLD - 1.00,,516972.6671323,617071.763371
2015-01-27,679105.516655999,1.135,GLD - 1.00,,522839.6937763,624075.253239
2015-01-28,673809.575039999,-0.78,GLD - 1.00,,518762.8771363,619208.553375
2015-01-29,659434.956655999,-2.133,GLD - 1.00,,507694.6337803,605999.013239
2015-01-30,673977.069625999,2.205,GLD - 1.00,,518890.3929703,619362.908399
2015-02-02,668410.955029999,-0.826,GLD - 1.00,,514604.5671313,614247.933365
2015-02-03,661006.132054999,-1.108,GLD - 1.00,,508904.0179363,607443.1682
2015-02-04,663870.776649999,0.433,GLD - 1.00,,511109.8737743,610075.673233
2015-02-05,665005.821244999,0.171,GLD - 1.00,,511983.6796133,611118.738266
2015-02-06,647980.060434999,-2.56,GLD - 1.00,,498876.5212913,595472.678332
2015-02-09,650845.765027999,0.442,GLD - 1.00,,501082.3771293,598105.713364
