,Orig,,,,SL10,SL15
2011-02-22,120662.98082,0.643,GLD - 1.00,,119804.041402,120662.98082
2011-02-23,121731.702572,0.886,GLD - 1.00,,120865.443142,121731.702572
2011-02-24,120829.423448,-0.741,GLD - 1.00,,119969.344012,120829.423448
2011-02-25,121617.831332,0.652,GLD - 1.00,,120752.351842,121617.831332
2011-02-28,121863.110456,0.202,GLD - 1.00,,120995.950972,121863.110456
2011-03-01,123939.226076,1.704,GLD - 1.00,,123057.846622,123939.226076
2011-03-02,123842.8652,-0.078,GLD - 1.00,,122962.145752,123842.8652
2011-03-03,122239.783448,-1.294,GLD - 1.00,,121370.044012,122239.783448
2011-03-04,123343.552208,0.903,GLD - 1.00,,122466.252712,123343.552208
2011-03-07,123667.667828,0.263,GLD - 1.00,,122788.148362,123667.667828
2011-03-08,123352.307828,-0.255,GLD - 1.00,,122474.948362,123352.307828
2011-03-09,123396.110456,0.036,GLD - 1.00,,122518.450972,123396.110456
2011-03-10,121959.470456,-1.164,GLD - 1.00,,121091.650972,121959.470456
2011-03-11,122353.667828,0.323,GLD - 1.00,,121483.148362,122353.667828
2011-03-14,122914.307828,0.458,GLD - 1.00,,122039.948362,122914.307828
2011-03-15,120645.470456,-1.846,GLD - 1.00,,119786.650972,120645.470456
2011-03-16,120619.191332,-0.022,GLD - 1.00,,119760.551842,120619.191332
2011-03-17,121258.667828,0.53,GLD - 1.00,,120395.648362,121258.667828
2011-03-18,122485.062572,1.011,GLD - 1.00,,121613.643142,122485.062572
2011-03-21,123159.586076,0.551,GLD - 1.00,,122283.546622,123159.586076
2011-03-22,123080.74958,-0.064,GLD - 1.00,,122205.250102,123080.74958
2011-03-23,124210.783448,0.918,GLD - 1.00,,123327.544012,124210.783448
2011-03-24,123229.667828,-0.79,None - 0.00,,122354.268357,123229.667828
2011-03-25,123229.667828,0,XIV - 0.45,,122354.268357,123229.667828
2011-03-28,122537.459828,-0.562,XIV - 0.45,,121667.019357,122537.459828
2011-03-29,123805.406828,1.035,None - 0.00,,122925.947357,123805.406828
2011-03-30,123805.406828,0,XIV - 0.45,,122925.947357,123805.406828
2011-03-31,123919.985828,0.093,XIV - 0.45,,123039.714357,123919.985828
2011-04-01,124429.019828,0.411,XIV - 0.45,,123545.136357,124429.019828
2011-04-04,124970.807828,0.435,XIV - 0.45,,124083.198357,124970.807828
2011-04-05,125892.387828,0.737,XIV - 0.45,,124998.406357,125892.387828
2011-04-06,126151.677828,0.206,XIV - 0.45,,125255.887357,126151.677828
2011-04-07,125700.057828,-0.358,XIV - 0.45,,124807.426357,125700.057828
2011-04-08,124664.631828,-0.824,XIV - 1.00,,123779.476357,124664.631828
2011-04-11,125944.560828,1.027,XIV - 0.45,,125050.438357,125944.560828
2011-04-12,125466.564828,-0.38,XIV - 0.45,,124575.858357,125466.564828
2011-04-13,126328.548828,0.687,XIV - 0.45,,125431.710357,126328.548828
2011-04-14,126812.520828,0.383,XIV - 0.80,,125912.210357,126812.520828
2011-04-15,129091.830828,1.797,XIV - 1.00,,128175.350357,129091.830828
2011-04-18,126006.943828,-2.39,XIV - 1.00,,125112.362357,126006.943828
2011-04-19,132376.579828,5.055,XIV - 1.00,,131436.797357,132376.579828
2011-04-20,137711.590828,4.03,XIV - 1.00,,136733.927357,137711.590828
2011-04-21,141687.834828,2.887,XIV - 1.00,,140681.928357,141687.834828
2011-04-25,144967.686828,2.315,XIV - 1.00,,143938.478357,144967.686828
2011-04-26,148152.350828,2.197,XIV - 1.00,,147100.511357,148152.350828
2011-04-27,149980.316828,1.234,XIV - 1.00,,148915.484357,149980.316828
2011-04-28,152048.337828,1.379,XIV - 1.00,,150968.804357,152048.337828
2011-04-29,151602.177828,-0.293,XIV - 1.00,,150525.816357,151602.177828
2011-05-02,147252.117828,-2.869,XIV - 1.00,,146206.683357,147252.117828
2011-05-03,144162.597828,-2.098,XIV - 1.00,,143139.123357,144162.597828
2011-05-04,142394.293828,-1.227,XIV - 1.00,,141383.385357,142394.293828
2011-05-05,138402.268828,-2.804,XIV - 1.00,,137419.725357,138402.268828
2011-05-06,141588.416828,2.302,XIV - 0.45,,140583.242357,141588.416828
2011-05-09,143504.464828,1.353,XIV - 0.45,,142485.898357,143504.464828
2011-05-10,145788.264828,1.591,XIV - 1.00,,144753.471357,145788.264828
2011-05-11,143120.816828,-1.83,XIV - 1.00,,142105.021357,143120.816828
2011-05-12,144478.728328,0.949,XIV - 1.00,,143453.426657,144478.728328
2011-05-13,142574.006828,-1.318,XIV - 1.00,,141562.269257,142574.006828
2011-05-16,139781.624828,-1.959,XIV - 1.00,,138789.770257,139781.624828
2011-05-17,142292.585828,1.796,XIV - 0.45,,141283.157257,142292.585828
2011-05-18,143936.633828,1.155,XIV - 0.80,,142915.739257,143936.633828
2011-05-19,146348.417828,1.676,XIV - 1.00,,145310.180257,146348.417828
2011-05-20,144788.124828,-1.066,XIV - 1.00,,143761.011657,144788.124828
2011-05-23,139889.227828,-3.383,XIV - 1.00,,138896.440057,139889.227828
2011-05-24,140361.231828,0.337,XIV - 0.45,,139365.138057,140361.231828
2011-05-25,142177.583828,1.294,XIV - 1.00,,141168.594057,142177.583828
2011-05-26,145093.587828,2.051,XIV - 1.00,,144063.850057,145093.587828
2011-05-27,147856.692828,1.904,XIV - 1.00,,146807.290057,147856.692828
2011-05-31,152148.444828,2.903,XIV - 1.00,,151069.026057,152148.444828
2011-06-01,141990.099828,-6.677,XIV - 1.00,,140983.014057,141990.099828
2011-06-02,143840.640828,1.303,GLD - 1.00,,142820.388057,143840.640828
2011-06-03,144526.08178,0.477,GLD - 1.00,,143500.789002,144526.08178
2011-06-06,144773.59702,0.171,GLD - 1.00,,143746.484277,144773.59702
2011-06-07,144716.478924,-0.039,GLD - 1.00,,143689.786167,144716.478924
2011-06-08,144135.758924,-0.401,GLD - 1.00,,143113.336167,144135.758924
2011-06-09,144849.758924,0.495,GLD - 1.00,,143822.086167,144849.758924
2011-06-10,143593.125588,-0.868,None - 0.00,,142574.692782,143593.125588
2011-06-13,143593.125588,0,XIV - 1.00,,142574.692782,143593.125588
2011-06-14,147823.026588,2.946,GLD - 1.00,,146774.680782,147823.026588
2011-06-15,148265.823636,0.3,GLD - 1.00,,147214.327851,148265.823636
2011-06-16,148118.22954,-0.1,GLD - 1.00,,147067.783713,148118.22954
2011-06-17,149072.710524,0.644,GLD - 1.00,,148015.47469,149072.710524
2011-06-20,149161.267572,0.059,GLD - 1.00,,148103.401759,149161.267572
2011-06-21,149879.583636,0.482,GLD - 1.00,,148816.607851,149879.583636
2011-06-22,150105.913476,0.151,GLD - 1.00,,149041.327621,150105.913476
2011-06-23,147498.30462,-1.737,GLD - 1.00,,146452.268828,147498.30462
2011-06-24,145451.583636,-1.388,GLD - 1.00,,144420.107851,145451.583636
2011-06-27,144930.06462,-0.359,GLD - 1.00,,143902.298828,144930.06462
2011-06-28,145431.913476,0.346,GLD - 1.00,,144400.577621,145431.913476
2011-06-29,146356.861668,0.636,None - 0.00,,145318.945897,146356.861668
2011-06-30,146356.861668,0,XIV - 1.00,,145318.945897,146356.861668
2011-07-01,151980.771668,3.843,None - 0.00,,150903.095897,151980.771668
2011-07-05,151980.771668,0,XIV - 1.00,,150903.095897,151980.771668
2011-07-06,149832.651668,-1.413,XIV - 1.00,,148770.095897,149832.651668
2011-07-07,154049.861668,2.815,XIV - 0.55,,152957.625897,154049.861668
2011-07-08,152824.861668,-0.795,XIV - 1.00,,151741.305897,152824.861668
2011-07-11,140410.911668,-8.123,XIV - 1.00,,139415.705897,140410.911668
2011-07-12,136803.711668,-2.569,GLD - 1.00,,135834.155897,136803.711668
2011-07-13,138017.527238,0.887,GLD - 1.00,,137039.751497,138017.527238
2011-07-14,138371.921922,0.257,GLD - 1.00,,137391.746217,138371.921922
2011-07-15,138956.685466,0.423,GLD - 1.00,,137972.549737,138956.685466
2011-07-18,140170.514326,0.874,GLD - 1.00,,139178.158537,140170.514326
2011-07-19,138478.251668,-1.207,GLD - 1.00,,137497.355897,138478.251668
2011-07-20,139683.211668,0.87,GLD - 1.00,,138694.155897,139683.211668
2011-07-21,138628.869896,-0.755,None - 0.00,,137646.954137,138628.869896
2011-07-22,138628.869896,0,XIV - 1.00,,137646.954137,138628.869896
2011-07-25,133127.589896,-3.968,XIV - 1.00,,132184.364137,133127.589896
2011-07-26,130338.159896,-2.095,GLD - 1.00,,129414.544137,130338.159896
2011-07-27,129864.298262,-0.364,GLD - 1.00,,128943.582513,129864.298262
2011-07-28,129970.512347,0.082,GLD - 1.00,,129049.146573,129970.512347
2011-07-29,130762.990909,0.61,GLD - 1.00,,129836.775205,130762.990909
2011-08-01,130297.307445,-0.356,GLD - 1.00,,129373.941701,130297.307445
2011-08-02,133401.909896,2.383,GLD - 1.00,,132459.544137,133401.909896
2011-08-03,133377.400713,-0.018,GLD - 1.00,,132435.214948,133377.400713
2011-08-04,132682.945811,-0.521,None - 0.00,,131745.860082,132682.945811
2011-08-05,132682.945811,0,VXX - 1.00,,131745.860082,132682.945811
2011-08-08,150992.065811,13.799,VXX - 1.00,,150054.980082,150992.065811
2011-08-09,136574.145811,-9.549,VXX - 1.00,,135637.060082,136574.145811
2011-08-10,152589.505811,11.726,VXX - 1.00,,151652.420082,152589.505811
2011-08-11,146896.065811,-3.731,VXX - 1.00,,145958.980082,146896.065811
2011-08-12,148329.665811,0.976,VXX - 1.00,,147392.580082,148329.665811
2011-08-15,140342.465811,-5.385,VXX - 1.00,,139405.380082,140342.465811
2011-08-16,143164.609811,2.011,VXX - 1.00,,142227.524082,143164.609811
2011-08-17,145872.065811,1.891,VXX - 1.00,,144934.980082,145872.065811
2011-08-18,174298.305811,19.487,VXX - 1.00,,173361.220082,174298.305811
2011-08-19,182817.985811,4.888,VXX - 1.00,,181880.900082,182817.985811
2011-08-22,188187.841811,2.937,VXX - 1.00,,187250.756082,188187.841811
2011-08-23,179631.297811,-4.547,VXX - 1.00,,178694.212082,179631.297811
2011-08-24,176059.585811,-1.988,VXX - 1.00,,175122.500082,176059.585811
2011-08-25,179451.073811,1.926,VXX - 1.00,,178513.988082,179451.073811
2011-08-26,176755.905811,-1.502,VXX - 1.00,,175818.820082,176755.905811
2011-08-29,166229.185811,-5.956,VXX - 1.00,,165292.100082,166229.185811
2011-08-30,167867.585811,0.986,VXX - 1.00,,166930.500082,167867.585811
2011-08-31,168113.345811,0.146,VXX - 1.00,,167176.260082,168113.345811
2011-09-01,170284.225811,1.291,VXX - 1.00,,169347.140082,170284.225811
2011-09-02,178435.265811,4.787,VXX - 1.00,,177498.180082,178435.265811
2011-09-06,183514.305811,2.846,VXX - 1.00,,182577.220082,183514.305811
2011-09-07,177247.425811,-3.415,VXX - 1.00,,176310.340082,177247.425811
2011-09-08,179991.745811,1.548,VXX - 1.00,,179054.660082,179991.745811
2011-09-09,196252.865811,9.034,VXX - 1.00,,195315.780082,196252.865811
2011-09-12,197973.185811,0.877,VXX - 1.00,,197036.100082,197973.185811
2011-09-13,196334.785811,-0.828,VXX - 1.00,,195397.700082,196334.785811
2011-09-14,191214.785811,-2.608,VXX - 1.00,,190277.700082,191214.785811
2011-09-15,182121.665811,-4.755,VXX - 1.00,,181184.580082,182121.665811
2011-09-16,178721.985811,-1.867,GLD - 1.00,,177784.900082,178721.985811
2011-09-19,175988.384806,-1.53,None - 0.00,,175067.619083,175988.384806
2011-09-20,175988.384806,0,VXX - 1.00,,175067.619083,175988.384806
2011-09-21,184935.584806,5.084,VXX - 1.00,,184014.819083,184935.584806
2011-09-22,202714.784806,9.614,VXX - 1.00,,201794.019083,202714.784806
2011-09-23,204634.784806,0.947,VXX - 1.00,,203714.019083,204634.784806
2011-09-26,197953.184806,-3.265,VXX - 1.00,,197032.419083,197953.184806
2011-09-27,194266.784806,-1.862,VXX - 1.00,,193346.019083,194266.784806
2011-09-28,206132.384806,6.108,VXX - 1.00,,205211.619083,206132.384806
2011-09-29,202791.584806,-1.621,VXX - 1.00,,201870.819083,202791.584806
2011-09-30,216269.984806,6.646,VXX - 1.00,,215349.219083,216269.984806
2011-10-03,229594.784806,6.161,VXX - 1.00,,228674.019083,229594.784806
2011-10-04,214254.752806,-6.681,VXX - 1.00,,213333.987083,214254.752806
2011-10-05,204327.584806,-4.633,VXX - 1.00,,203406.819083,204327.584806
2011-10-06,200948.384806,-1.654,GLD - 1.00,,200027.619083,200948.384806
2011-10-07,199325.279938,-0.808,GLD - 1.00,,198412.374287,199325.279938
2011-10-10,204392.803567,2.542,None - 0.00,,203459.447861,204392.803567
2011-10-11,204392.803567,0,XIV - 0.45,,203459.447861,204392.803567
2011-10-12,210404.223567,2.941,XIV - 0.45,,209443.807861,210404.223567
2011-10-13,210687.403567,0.135,XIV - 0.45,,209725.687861,210687.403567
2011-10-14,216058.703567,2.549,XIV - 0.45,,215072.667861,216058.703567
2011-10-17,205775.453567,-4.759,XIV - 0.45,,205246.107861,205775.453567
2011-10-18,208845.653567,1.492,XIV - 0.45,,205246.107861,208845.653567
2011-10-19,202240.973567,-3.162,XIV - 0.45,,198755.507861,202240.973567
2011-10-20,201193.353567,-0.518,XIV - 0.45,,197725.947861,201193.353567
2011-10-21,206013.833567,2.396,XIV - 0.45,,202463.227861,206013.833567
2011-10-24,211722.263567,2.771,XIV - 0.45,,208073.377861,211722.263567
2011-10-25,205349.363567,-3.01,XIV - 0.80,,201810.277861,205349.363567
2011-10-26,211634.723567,3.061,XIV - 0.45,,207987.397861,211634.723567
2011-10-27,224059.173567,5.871,XIV - 0.45,,220197.647861,224059.173567
2011-10-28,224469.363567,0.183,XIV - 1.00,,220600.787861,224469.363567
2011-10-31,201125.273567,-10.4,XIV - 1.00,,197659.407861,201125.273567
2011-11-01,172594.393567,-14.186,XIV - 0.45,,169620.147861,172594.393567
2011-11-02,174783.353567,1.268,XIV - 0.45,,171771.347861,174783.353567
2011-11-03,178689.943567,2.235,XIV - 0.45,,175610.657861,178689.943567
2011-11-04,176853.983567,-1.027,XIV - 0.45,,173806.337861,176853.983567
2011-11-07,177651.143567,0.451,XIV - 0.80,,174589.757861,177651.143567
2011-11-08,184228.063567,3.702,XIV - 0.45,,181053.277861,184228.063567
2011-11-09,168783.043567,-8.384,XIV - 1.00,,167661.853861,168783.043567
2011-11-10,178631.443567,5.835,XIV - 0.45,,167661.853861,178631.443567
2011-11-11,181879.523567,1.818,XIV - 0.45,,170710.393861,181879.523567
2011-11-14,179857.503567,-1.112,XIV - 1.00,,168812.553861,179857.503567
2011-11-15,181810.563567,1.086,XIV - 0.80,,170645.673861,181810.563567
2011-11-16,175040.683567,-3.724,XIV - 0.80,,164291.533861,175040.683567
2011-11-17,168727.483567,-3.607,XIV - 0.45,,158365.933861,168727.483567
2011-11-18,170819.503567,1.24,XIV - 0.45,,160329.573861,170819.503567
2011-11-21,169936.363567,-0.517,XIV - 0.80,,159500.673861,169936.363567
2011-11-22,172570.163567,1.55,XIV - 0.80,,161972.773861,172570.163567
2011-11-23,166798.903567,-3.344,XIV - 0.80,,156555.933861,166798.903567
2011-11-25,164718.125767,-1.247,XIV - 0.80,,154602.881061,164718.125767
2011-11-28,170524.578967,3.525,XIV - 0.80,,160052.579061,170524.578967
2011-11-29,173157.178967,1.544,XIV - 0.80,,162523.479061,173157.178967
2011-11-30,185743.258967,7.269,XIV - 1.00,,174336.759061,185743.258967
2011-12-01,189929.778967,2.254,XIV - 1.00,,178266.139061,189929.778967
2011-12-02,190251.748967,0.17,XIV - 1.00,,178568.329061,190251.748967
2011-12-05,190251.748967,0,XIV - 1.00,,178568.329061,190251.748967
2011-12-06,191217.628967,0.508,XIV - 1.00,,179474.899061,191217.628967
2011-12-07,185422.708967,-3.031,XIV - 1.00,,174035.839061,185422.708967
2011-12-08,177371.708967,-4.342,XIV - 1.00,,166479.089061,177371.708967
2011-12-09,189292.738967,6.721,XIV - 0.80,,177668.259061,189292.738967
2011-12-12,188262.378967,-0.544,XIV - 1.00,,176701.179061,188262.378967
2011-12-13,189229.728967,0.514,XIV - 1.00,,177609.129061,189229.728967
2011-12-14,188262.438967,-0.511,XIV - 1.00,,176701.239061,188262.438967
2011-12-15,195678.788967,3.939,XIV - 1.00,,183662.189061,195678.788967
2011-12-16,196645.778967,0.494,XIV - 1.00,,184569.779061,196645.778967
2011-12-19,198901.948967,1.147,XIV - 1.00,,186687.419061,198901.948967
2011-12-20,210503.668967,5.833,XIV - 1.00,,197576.699061,210503.668967
2011-12-21,224997.718967,6.885,XIV - 1.00,,211180.649061,224997.718967
2011-12-22,223710.198967,-0.572,XIV - 1.00,,209972.169061,223710.198967
2011-12-23,218237.898967,-2.446,XIV - 1.00,,204835.789061,218237.898967
2011-12-27,219525.858967,0.59,XIV - 1.00,,206044.629061,219525.858967
2011-12-28,210510.698967,-4.107,XIV - 1.00,,197583.309061,210510.698967
2011-12-29,215664.458967,2.448,XIV - 1.00,,202420.429061,215664.458967
2011-12-30,211800.098967,-1.792,XIV - 1.00,,198793.429061,211800.098967
2012-01-03,223073.248967,5.323,XIV - 1.00,,209374.279061,223073.248967
2012-01-04,227258.208967,1.876,XIV - 1.00,,213302.229061,227258.208967
2012-01-05,232407.968967,2.266,XIV - 1.00,,218135.829061,232407.968967
2012-01-06,235625.868967,1.385,XIV - 1.00,,221156.129061,235625.868967
2012-01-09,239486.868967,1.639,XIV - 1.00,,224780.009061,239486.868967
2012-01-10,244312.218967,2.015,XIV - 1.00,,229309.109061,244312.218967
2012-01-11,240131.028967,-1.711,XIV - 1.00,,225384.669061,240131.028967
2012-01-12,243669.618967,1.474,XIV - 1.00,,228705.899061,243669.618967
2012-01-13,236915.178967,-2.772,XIV - 1.00,,222366.209061,236915.178967
2012-01-17,239167.288967,0.951,XIV - 1.00,,224479.999061,239167.288967
2012-01-18,247853.188967,3.632,XIV - 1.00,,232632.379061,247853.188967
2012-01-19,254284.988967,2.595,XIV - 1.00,,238669.179061,254284.988967
2012-01-20,261679.488967,2.908,XIV - 1.00,,245609.659061,261679.488967
2012-01-23,268429.098967,2.579,XIV - 1.00,,251944.729061,268429.098967
2012-01-24,267143.778967,-0.479,XIV - 1.00,,250738.329061,267143.778967
2012-01-25,279033.728967,4.451,XIV - 1.00,,261897.899061,279033.728967
2012-01-26,279354.938967,0.115,XIV - 1.00,,262199.379061,279354.938967
2012-01-27,285136.538967,2.07,XIV - 1.00,,267626.019061,285136.538967
2012-01-30,276465.758967,-3.041,XIV - 1.00,,259487.679061,276465.758967
2012-01-31,276465.758967,0,XIV - 1.00,,259487.679061,276465.758967
2012-02-01,283533.038967,2.556,XIV - 1.00,,266120.899061,283533.038967
2012-02-02,292204.358967,3.058,XIV - 1.00,,274259.779061,292204.358967
2012-02-03,307936.298967,5.384,XIV - 1.00,,289025.929061,307936.298967
2012-02-06,311466.198967,1.146,XIV - 1.00,,292339.019061,311466.198967
2012-02-07,307936.738967,-1.133,XIV - 1.00,,289026.259061,307936.738967
2012-02-08,300876.938967,-2.293,XIV - 1.00,,282400.079061,300876.938967
2012-02-09,286112.318967,-4.907,XIV - 1.00,,268542.119061,286112.318967
2012-02-10,262347.958967,-8.306,XIV - 1.00,,246237.039061,262347.958967
2012-02-13,282920.118967,7.842,XIV - 0.55,,265545.839061,282920.118967
2012-02-14,277973.638967,-1.748,XIV - 1.00,,260903.159061,277973.638967
2012-02-15,262323.238967,-5.63,XIV - 1.00,,246213.719061,262323.238967
2012-02-16,271131.988967,3.358,XIV - 0.55,,254481.659061,271131.988967
2012-02-17,273284.548967,0.794,XIV - 1.00,,256501.979061,273284.548967
2012-02-21,273284.548967,0,XIV - 1.00,,256501.979061,273284.548967
2012-02-22,280704.377967,2.715,XIV - 1.00,,263466.098061,280704.377967
2012-02-23,298876.289967,6.474,XIV - 1.00,,280522.181061,298876.289967
2012-02-24,287222.369967,-3.899,XIV - 1.00,,269583.941061,287222.369967
2012-02-27,284307.629967,-1.015,XIV - 1.00,,266848.211061,284307.629967
2012-02-28,288194.309967,1.367,XIV - 1.00,,270496.211061,288194.309967
2012-02-29,292663.439967,1.551,XIV - 1.00,,274690.859061,292663.439967
2012-03-01,298232.799967,1.903,XIV - 1.00,,279918.111061,298232.799967
2012-03-02,295319.229967,-0.977,XIV - 1.00,,277183.461061,295319.229967
2012-03-05,295966.769967,0.219,XIV - 1.00,,277791.221061,295966.769967
2012-03-06,273303.569967,-7.657,XIV - 1.00,,256519.621061,273303.569967
2012-03-07,286588.799967,4.861,XIV - 0.55,,268988.951061,286588.799967
2012-03-08,292467.089967,2.051,XIV - 1.00,,274506.221061,292467.089967
2012-03-09,297881.929967,1.851,XIV - 1.00,,279588.541061,297881.929967
2012-03-12,311894.169967,4.704,XIV - 1.00,,292740.581061,311894.169967
2012-03-13,325581.929967,4.389,XIV - 1.00,,305587.691061,325581.929967
2012-03-14,314763.809967,-3.323,XIV - 1.00,,295433.931061,314763.809967
2012-03-15,319856.609967,1.618,XIV - 1.00,,300213.931061,319856.609967
2012-03-16,320174.849967,0.099,XIV - 1.00,,300512.631061,320174.849967
2012-03-19,339905.729967,6.163,XIV - 1.00,,319032.031061,339905.729967
2012-03-20,354850.899467,4.397,XIV - 1.00,,333059.485861,354850.899467
2012-03-21,371703.838667,4.749,XIV - 1.00,,348877.139761,371703.838667
2012-03-22,366304.926367,-1.452,XIV - 1.00,,343809.702361,366304.926367
2012-03-23,392677.629967,7.2,XIV - 1.00,,368562.636361,392677.629967
2012-03-26,428252.005967,9.059,XIV - 1.00,,401952.817361,428252.005967
2012-03-27,386680.465967,-9.707,XIV - 1.00,,362934.467361,386680.465967
2012-03-28,381915.265967,-1.232,XIV - 1.00,,358461.917361,381915.265967
2012-03-29,384507.861167,0.679,XIV - 1.00,,360895.310961,384507.861167
2012-03-30,393670.329167,2.383,XIV - 1.00,,369495.110561,393670.329167
2012-04-02,394305.589167,0.161,XIV - 1.00,,370091.350561,394305.589167
2012-04-03,386682.709167,-1.933,XIV - 1.00,,362936.470561,386682.709167
2012-04-04,379058.389167,-1.972,XIV - 1.00,,355780.150561,379058.389167
2012-04-05,370796.889167,-2.179,XIV - 1.00,,348025.910561,370796.889167
2012-04-09,347344.951367,-6.325,XIV - 0.55,,326014.353561,347344.951367
2012-04-10,332090.178167,-4.392,XIV - 0.55,,311696.215761,332090.178167
2012-04-11,337183.658167,1.534,XIV - 0.55,,316476.935761,337183.658167
2012-04-12,352632.698167,4.582,XIV - 0.55,,330977.395761,352632.698167
2012-04-13,340329.108167,-3.489,XIV - 1.00,,319429.245761,340329.108167
2012-04-16,346827.108167,1.909,XIV - 0.55,,325528.245761,346827.108167
2012-04-17,356474.748167,2.782,XIV - 0.55,,334583.505761,356474.748167
2012-04-18,353155.448167,-0.931,XIV - 0.55,,331468.075761,353155.448167
2012-04-19,351746.728167,-0.399,XIV - 0.55,,330145.915761,351746.728167
2012-04-20,358460.568167,1.909,XIV - 0.55,,336447.455761,358460.568167
2012-04-23,351676.518167,-1.893,XIV - 1.00,,330079.925761,351676.518167
2012-04-24,360356.208167,2.468,XIV - 0.55,,338226.635761,360356.208167
2012-04-25,372552.648167,3.385,XIV - 1.00,,349674.425761,372552.648167
2012-04-26,385378.678167,3.443,XIV - 1.00,,361712.435761,385378.678167
2012-04-27,385378.678167,0,XIV - 1.00,,361712.435761,385378.678167
2012-04-30,376935.238167,-2.191,XIV - 1.00,,353787.395761,376935.238167
2012-05-01,389446.838167,3.319,XIV - 0.55,,365530.595761,389446.838167
2012-05-02,387211.098167,-0.574,XIV - 1.00,,363432.135761,387211.098167
2012-05-03,378727.428167,-2.191,XIV - 1.00,,355469.565761,378727.428167
2012-05-04,362699.148167,-4.232,XIV - 1.00,,340425.585761,362699.148167
2012-05-07,368044.288167,1.474,XIV - 0.55,,345442.455761,368044.288167
2012-05-08,365623.688167,-0.658,XIV - 0.55,,343170.535761,365623.688167
2012-05-09,357973.408167,-2.092,XIV - 0.55,,335990.175761,357973.408167
2012-05-10,364523.518167,1.83,XIV - 0.55,,342138.095761,364523.518167
2012-05-11,361087.641167,-0.943,XIV - 0.55,,338913.205761,361087.641167
2012-05-14,349783.058167,-3.131,XIV - 0.20,,328303.062761,349783.058167
2012-05-15,346169.558167,-1.033,GLD - 1.00,,324911.212761,346169.558167
2012-05-16,345528.922743,-0.185,GLD - 1.00,,324309.777057,345528.922743
2012-05-17,353170.833591,2.212,GLD - 1.00,,331484.088465,353170.833591
2012-05-18,357174.833591,1.134,GLD - 1.00,,335241.338465,357174.833591
2012-05-21,357403.513008,0.064,None - 0.00,,335456.019142,357403.513008
2012-05-22,357403.513008,0,XIV - 0.55,,335456.019142,357403.513008
2012-05-23,360593.713008,0.893,None - 0.00,,338450.319142,360593.713008
2012-05-24,360593.713008,0,XIV - 0.20,,338450.319142,360593.713008
2012-05-25,361213.153008,0.172,XIV - 1.00,,339031.759142,361213.153008
2012-05-29,379285.123008,5.003,GLD - 1.00,,355994.059142,379285.123008
2012-05-30,381497.663008,0.583,GLD - 1.00,,358070.429142,381497.663008
2012-05-31,380776.700634,-0.189,GLD - 1.00,,357393.838145,380776.700634
2012-06-01,395394.393064,3.839,GLD - 1.00,,371111.88981,395394.393064
2012-06-04,394947.110459,-0.113,GLD - 1.00,,370692.146134,394947.110459
2012-06-05,394499.790579,-0.113,GLD - 1.00,,370272.367478,394499.790579
2012-06-06,394673.760459,0.044,GLD - 1.00,,370435.626134,394673.760459
2012-06-07,387939.393064,-1.706,GLD - 1.00,,364115.88981,387939.393064
2012-06-08,388510.933124,0.147,None - 0.00,,364652.470478,388510.933124
2012-06-11,388510.933124,0,XIV - 1.00,,364652.470478,388510.933124
2012-06-12,394460.933124,1.531,GLD - 1.00,,370237.070478,394460.933124
2012-06-13,396107.603184,0.417,GLD - 1.00,,371782.762374,396107.603184
2012-06-14,397679.465659,0.397,GLD - 1.00,,373258.234084,397679.465659
2012-06-15,397904.005679,0.056,None - 0.00,,373469.004716,397904.005679
2012-06-18,397904.005679,0,XIV - 0.20,,373469.004716,397904.005679
2012-06-19,399411.805679,0.379,XIV - 1.00,,374884.204716,399411.805679
2012-06-20,415376.845679,3.997,XIV - 1.00,,389868.844716,415376.845679
2012-06-21,366758.815679,-11.705,XIV - 1.00,,350332.254716,366758.815679
2012-06-22,404293.445679,10.234,XIV - 0.20,,350332.254716,404293.445679
2012-06-25,398501.945679,-1.432,XIV - 1.00,,345313.734716,398501.945679
2012-06-26,409942.735679,2.871,XIV - 0.65,,355227.674716,409942.735679
2012-06-27,408404.575679,-0.375,XIV - 1.00,,353894.834716,408404.575679
2012-06-28,420261.475679,2.903,XIV - 0.65,,364168.934716,420261.475679
2012-06-29,438752.515679,4.4,XIV - 0.65,,380191.814716,438752.515679
2012-07-02,456821.635679,4.118,XIV - 1.00,,395848.934716,456821.635679
2012-07-03,465889.315679,1.985,XIV - 1.00,,403706.294716,465889.315679
2012-07-05,448513.275679,-3.73,XIV - 1.00,,388649.574716,448513.275679
2012-07-06,453803.735679,1.18,XIV - 1.00,,393233.874716,453803.735679
2012-07-09,456826.535679,0.666,XIV - 1.00,,395853.154716,456826.535679
2012-07-10,444358.475679,-2.729,XIV - 1.00,,385049.284716,444358.475679
2012-07-11,457963.955679,3.062,XIV - 1.00,,396838.924716,457963.955679
2012-07-12,454979.177679,-0.652,XIV - 1.00,,394252.543716,454979.177679
2012-07-13,480634.513679,5.639,XIV - 1.00,,416483.682716,480634.513679
2012-07-16,485543.833679,1.021,XIV - 1.00,,420737.672716,485543.833679
2012-07-17,503668.633679,3.733,XIV - 1.00,,436443.272716,503668.633679
2012-07-18,498384.193679,-1.049,XIV - 1.00,,431864.152716,498384.193679
2012-07-19,510464.193679,2.424,XIV - 1.00,,442331.672716,510464.193679
